Century,Year,Gold Price 
1700s,1791,19.39
1700s,1792,19.39
1700s,1793,19.39
1700s,1794,19.39
1700s,1795,19.39
1700s,1796,19.39
1700s,1797,19.39
1700s,1798,19.39
1700s,1799,19.39
1800s,1800,19.39
1800s,1801,19.39
1800s,1802,19.39
1800s,1803,19.39
1800s,1804,19.39
1800s,1805,19.39
1800s,1806,19.39
1800s,1807,19.39
1800s,1808,19.39
1800s,1809,19.39
1800s,1810,19.39
1800s,1811,19.39
1800s,1812,19.39
1800s,1813,19.39
1800s,1814,20.1
1800s,1815,21.64
1800s,1816,20.95
1800s,1817,19.46
1800s,1818,19.39
1800s,1819,19.39
1800s,1820,19.39
1800s,1821,19.39
1800s,1822,19.39
1800s,1823,19.39
1800s,1824,19.39
1800s,1825,19.39
1800s,1826,19.39
1800s,1827,19.39
1800s,1828,19.39
1800s,1829,19.39
1800s,1830,19.39
1800s,1831,19.39
1800s,1832,19.39
1800s,1833,19.39
1800s,1834,19.94
1800s,1835,20.69
1800s,1836,20.69
1800s,1837,21.64
1800s,1838,20.86
1800s,1839,20.67
1800s,1840,20.67
1800s,1841,20.67
1800s,1842,20.67
1800s,1843,20.67
1800s,1844,20.67
1800s,1845,20.67
1800s,1846,20.67
1800s,1847,20.67
1800s,1848,20.67
1800s,1849,20.67
1800s,1850,20.67
1800s,1851,20.67
1800s,1852,20.67
1800s,1853,20.67
1800s,1854,20.67
1800s,1855,20.67
1800s,1856,20.67
1800s,1857,20.7
1800s,1858,20.67
1800s,1859,20.67
1800s,1860,20.67
1800s,1861,20.67
1800s,1862,23.42
1800s,1863,30.02
1800s,1864,42.03
1800s,1865,32.52
1800s,1866,29.13
1800s,1867,28.57
1800s,1868,28.88
1800s,1869,27.49
1800s,1870,23.75
1800s,1871,23.09
1800s,1872,23.24
1800s,1873,23.52
1800s,1874,22.99
1800s,1875,23.75
1800s,1876,23.05
1800s,1877,21.66
1800s,1878,20.84
1800s,1879,20.67
1800s,1880,20.67
1800s,1881,20.67
1800s,1882,20.67
1800s,1883,20.67
1800s,1884,20.67
1800s,1885,20.67
1800s,1886,20.67
1800s,1887,20.67
1800s,1888,20.67
1800s,1889,20.67
1800s,1890,20.67
1800s,1891,20.67
1800s,1892,20.67
1800s,1893,20.67
1800s,1894,20.67
1800s,1895,20.67
1800s,1896,20.67
1800s,1897,20.67
1800s,1898,20.67
1800s,1899,20.67
1900s,1900,20.67
1900s,1901,20.67
1900s,1902,20.67
1900s,1903,20.67
1900s,1904,20.67
1900s,1905,20.67
1900s,1906,20.67
1900s,1907,20.67
1900s,1908,20.67
1900s,1909,20.67
1900s,1910,20.67
1900s,1911,20.67
1900s,1912,20.67
1900s,1913,20.67
1900s,1914,20.67
1900s,1915,20.67
1900s,1916,20.67
1900s,1917,20.67
1900s,1918,20.67
1900s,1919,20.67
1900s,1920,20.67
1900s,1921,20.67
1900s,1922,20.67
1900s,1923,20.67
1900s,1924,20.67
1900s,1925,20.67
1900s,1926,20.67
1900s,1927,20.67
1900s,1928,20.67
1900s,1929,20.67
1900s,1930,20.67
1900s,1931,20.67
1900s,1932,20.67
1900s,1933,24.44
1900s,1934,34.94
1900s,1935,35
1900s,1936,35
1900s,1937,35
1900s,1938,35
1900s,1939,35
1900s,1940,35
1900s,1941,35
1900s,1942,35
1900s,1943,35
1900s,1944,35
1900s,1945,35
1900s,1946,35
1900s,1947,35
1900s,1948,35
1900s,1949,35
1900s,1950,35
1900s,1951,35
1900s,1952,35
1900s,1953,35
1900s,1954,35
1900s,1955,35
1900s,1956,35
1900s,1957,35
1900s,1958,35
1900s,1959,35
1900s,1960,35
1900s,1961,35
1900s,1962,35
1900s,1963,35
1900s,1964,35
1900s,1965,35
1900s,1966,35
1900s,1967,35
1900s,1968,39.26
1900s,1969,41.51
1900s,1970,36.41
1900s,1971,41.25
1900s,1972,58.6
1900s,1973,97.81
1900s,1974,159.74
1900s,1975,161.49
1900s,1976,125.32
1900s,1977,148.31
1900s,1978,193.55
1900s,1979,307.5
1900s,1980,612.56
1900s,1981,459.64
1900s,1982,375.91
1900s,1983,424
1900s,1984,360.66
1900s,1985,317.66
1900s,1986,368.24
1900s,1987,447.95
1900s,1988,438.31
1900s,1989,382.58
1900s,1990,384.93
1900s,1991,363.29
1900s,1992,344.97
1900s,1993,360.91
1900s,1994,385.42
1900s,1995,385.5
1900s,1996,389.09
1900s,1997,332.39
1900s,1998,295.24
1900s,1999,279.91
1900s,2000,280.1
2000s,2001,272.22
2000s,2002,311.33
2000s,2003,364.8
2000s,2004,410.52
2000s,2005,446
2000s,2006,606
2000s,2007,699
2000s,2008,874
2000s,2009,975
2000s,2010,1227
2000s,2011,1572
2000s,2012,1700
2000s,2013,1415
2000s,2014,1269
2000s,2015,1163
2000s,2016,1252
2000s,2017,1260
2000s,2018,1270
2000s,2019,1390
2000s,2020,1770
