Century,Year,Silver Price 
1700s,1791,1.28
1700s,1792,1.27
1700s,1793,1.29
1700s,1794,1.26
1700s,1795,1.24
1700s,1796,1.23
1700s,1797,1.25
1700s,1798,1.24
1700s,1799,1.23
1800s,1800,1.23
1800s,1801,1.25
1800s,1802,1.27
1800s,1803,1.25
1800s,1804,1.25
1800s,1805,1.22
1800s,1806,1.24
1800s,1807,1.25
1800s,1808,1.2
1800s,1809,1.21
1800s,1810,1.22
1800s,1811,1.24
1800s,1812,1.2
1800s,1813,1.19
1800s,1814,1.33
1800s,1815,1.41
1800s,1816,1.37
1800s,1817,1.28
1800s,1818,1.26
1800s,1819,1.26
1800s,1820,1.24
1800s,1821,1.21
1800s,1822,1.22
1800s,1823,1.22
1800s,1824,1.22
1800s,1825,1.23
1800s,1826,1.23
1800s,1827,1.23
1800s,1828,1.22
1800s,1829,1.22
1800s,1830,1.22
1800s,1831,1.23
1800s,1832,1.23
1800s,1833,1.21
1800s,1834,1.26
1800s,1835,1.3
1800s,1836,1.31
1800s,1837,1.36
1800s,1838,1.31
1800s,1839,1.32
1800s,1840,1.32
1800s,1841,1.31
1800s,1842,1.3
1800s,1843,1.29
1800s,1844,1.3
1800s,1845,1.29
1800s,1846,1.3
1800s,1847,1.3
1800s,1848,1.3
1800s,1849,1.3
1800s,1850,1.31
1800s,1851,1.33
1800s,1852,1.32
1800s,1853,1.34
1800s,1854,1.34
1800s,1855,1.34
1800s,1856,1.34
1800s,1857,1.35
1800s,1858,1.34
1800s,1859,1.36
1800s,1860,1.35
1800s,1861,1.33
1800s,1862,1.52
1800s,1863,1.95
1800s,1864,2.73
1800s,1865,2.1
1800s,1866,1.88
1800s,1867,1.83
1800s,1868,1.85
1800s,1869,1.76
1800s,1870,1.52
1800s,1871,1.48
1800s,1872,1.48
1800s,1873,1.47
1800s,1874,1.42
1800s,1875,1.42
1800s,1876,1.29
1800s,1877,1.25
1800s,1878,1.16
1800s,1879,1.12
1800s,1880,1.14
1800s,1881,1.13
1800s,1882,1.13
1800s,1883,1.1
1800s,1884,1.11
1800s,1885,1.06
1800s,1886,0.99
1800s,1887,0.97
1800s,1888,0.93
1800s,1889,0.93
1800s,1890,1.04
1800s,1891,0.98
1800s,1892,0.87
1800s,1893,0.78
1800s,1894,0.63
1800s,1895,0.65
1800s,1896,0.67
1800s,1897,0.6
1800s,1898,0.59
1800s,1899,0.6
1900s,1900,0.62
1900s,1901,0.59
1900s,1902,0.52
1900s,1903,0.54
1900s,1904,0.57
1900s,1905,0.61
1900s,1906,0.67
1900s,1907,0.66
1900s,1908,0.53
1900s,1909,0.52
1900s,1910,0.54
1900s,1911,0.53
1900s,1912,0.61
1900s,1913,0.6
1900s,1914,0.55
1900s,1915,0.51
1900s,1916,0.67
1900s,1917,0.83
1900s,1918,0.98
1900s,1919,1.12
1900s,1920,1.01
1900s,1921,0.63
1900s,1922,0.67
1900s,1923,0.65
1900s,1924,0.67
1900s,1925,0.69
1900s,1926,0.62
1900s,1927,0.56
1900s,1928,0.58
1900s,1929,0.53
1900s,1930,0.38
1900s,1931,0.29
1900s,1932,0.28
1900s,1933,0.34
1900s,1934,0.48
1900s,1935,0.64
1900s,1936,0.45
1900s,1937,0.45
1900s,1938,0.43
1900s,1939,0.39
1900s,1940,0.35
1900s,1941,0.35
1900s,1942,0.38
1900s,1943,0.45
1900s,1944,0.45
1900s,1945,0.51
1900s,1946,0.8
1900s,1947,0.71
1900s,1948,0.74
1900s,1949,0.72
1900s,1950,0.74
1900s,1951,0.89
1900s,1952,0.85
1900s,1953,0.85
1900s,1954,0.85
1900s,1955,0.89
1900s,1956,0.9
1900s,1957,0.9
1900s,1958,0.89
1900s,1959,0.91
1900s,1960,0.91
1900s,1961,0.92
1900s,1962,1.08
1900s,1963,1.28
1900s,1964,1.29
1900s,1965,1.29
1900s,1966,1.29
1900s,1967,1.55
1900s,1968,2.14
1900s,1969,1.79
1900s,1970,1.77
1900s,1971,1.54
1900s,1972,1.68
1900s,1973,2.55
1900s,1974,4.71
1900s,1975,4.42
1900s,1976,4.35
1900s,1977,4.62
1900s,1978,5.4
1900s,1979,11.1
1900s,1980,20.65
1900s,1981,10.53
1900s,1982,7.95
1900s,1983,11.45
1900s,1984,8.14
1900s,1985,6.14
1900s,1986,5.47
1900s,1987,7.01
1900s,1988,6.54
1900s,1989,5.5
1900s,1990,4.82
1900s,1991,4.04
1900s,1992,3.94
1900s,1993,4.3
1900s,1994,5.29
1900s,1995,5.15
1900s,1996,5.19
1900s,1997,4.89
1900s,1998,5.54
1900s,1999,5.25
1900s,2000,5
2000s,2001,4.39
2000s,2002,4.62
2000s,2003,4.91
2000s,2004,6.69
2000s,2005,7.34
2000s,2006,11.6
2000s,2007,13.46
2000s,2008,15.02
2000s,2009,14.71
2000s,2010,20.23
2000s,2011,35.12
2000s,2012,31.72
2000s,2013,23.85
2000s,2014,19.11
2000s,2015,15.72
2000s,2016,17.16
2000s,2017,17.08
2000s,2018,15.72
2000s,2019,16.17
2000s,2020,20.54
